int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,7766846585227820000.0,50,5000,0.0,5359,11.97872737451017
1,1034122323355642880.0,50,5000,0.0,5711,10.972684293468745
2,2777949019608510500.0,50,5000,0.0,5363,11.554540369196346
3,8871638428617031700.0,50,5000,0.0,5078,12.40901929893659
4,2138810548042419200.0,50,5000,0.0,5299,11.990941687110775
5,2892951684582016000.0,50,5000,0.0,5155,12.223084384093113
6,4921541557609993200.0,50,5000,0.0,4886,12.866966844044208
7,800878435309840380.0,50,5000,0.0,5379,11.714259155976947
8,5527862038621070300.0,50,5000,0.0,4966,12.628674989931534
9,1379446537551138820.0,50,5000,0.0,5005,12.435964035964036
10,8029094489258328100.0,50,5000,0.0,5436,11.511773362766741
11,1677874850650588160.0,50,5000,0.0,5314,12.010161836657884
12,506074572078322690.0,50,5000,0.0,5357,11.60686951652044
13,6959264225449315300.0,50,5000,0.0,5295,11.820396600566573
14,4732635524366342100.0,50,5000,0.0,5570,11.222800718132854
15,6583573310791494700.0,50,5000,0.0,4794,13.248018356278681
16,6427866114979680300.0,50,5000,0.0,5122,12.237016790316282
17,7552520903000510500.0,50,5000,0.0,5117,12.467461403165917
18,2896664227583797200.0,50,5000,0.0,5065,12.25883514313919
19,6464664567885156400.0,50,5000,5967.0,5340,11.666479400749063
20,7766846585227820000.0,100,5000,0.0,5552,10.76314841498559
21,1034122323355642880.0,100,5000,0.0,5944,10.075033647375506
22,2777949019608510500.0,100,5000,0.0,5822,10.410683613878392
23,8871638428617031700.0,100,5000,0.0,5727,10.395669635061987
24,2138810548042419200.0,100,5000,0.0,5692,10.517217146872804
25,2892951684582016000.0,100,5000,0.0,5884,10.36862678450034
26,4921541557609993200.0,100,5000,0.0,5717,10.831729928284066
27,800878435309840380.0,100,5000,0.0,5939,10.24044451927934
28,5527862038621070300.0,100,5000,0.0,5722,10.38745193988116
29,1379446537551138820.0,100,5000,0.0,5807,10.54055450318581
30,8029094489258328100.0,100,5000,0.0,5793,10.313481788365268
31,1677874850650588160.0,100,5000,0.0,5791,10.479364531169056
32,506074572078322690.0,100,5000,0.0,6078,9.880059230009872
33,6959264225449315300.0,100,5000,0.0,5684,10.480999296270232
34,4732635524366342100.0,100,5000,0.0,6040,9.979635761589403
35,6583573310791494700.0,100,5000,0.0,5675,10.553480176211453
36,6427866114979680300.0,100,5000,0.0,6056,9.938408190224571
37,7552520903000510500.0,100,5000,0.0,5562,11.086299892125135
38,2896664227583797200.0,100,5000,0.0,5466,11.392242956458105
39,6464664567885156400.0,100,5000,3004.0,5680,10.72306338028169
40,7766846585227820000.0,250,5000,0.0,6078,9.649391247120763
41,1034122323355642880.0,250,5000,0.0,5808,9.769455922865014
42,2777949019608510500.0,250,5000,0.0,6178,9.391874393007447
43,8871638428617031700.0,250,5000,0.0,6010,9.79450915141431
44,2138810548042419200.0,250,5000,0.0,5927,10.148473089252573
45,2892951684582016000.0,250,5000,0.0,6055,9.740214698596201
46,4921541557609993200.0,250,5000,0.0,6244,9.512652146060217
47,800878435309840380.0,250,5000,0.0,5919,9.80841358337557
48,5527862038621070300.0,250,5000,0.0,6141,9.686207458068719
49,1379446537551138820.0,250,5000,0.0,5837,9.9652218605448
50,8029094489258328100.0,250,5000,0.0,6032,9.745192307692308
51,1677874850650588160.0,250,5000,0.0,5990,9.836060100166945
52,506074572078322690.0,250,5000,0.0,6306,9.435141135426578
53,6959264225449315300.0,250,5000,0.0,6003,9.947859403631517
54,4732635524366342100.0,250,5000,0.0,6027,9.674298987887838
55,6583573310791494700.0,250,5000,0.0,6057,9.800561333993727
56,6427866114979680300.0,250,5000,0.0,6117,9.617786496648684
57,7552520903000510500.0,250,5000,0.0,5923,9.668073611345601
58,2896664227583797200.0,250,5000,0.0,6173,9.504616879961121
59,6464664567885156400.0,250,5000,1256.0,5834,10.261055879328076
60,7766846585227820000.0,500,5000,0.0,6117,9.476213830308975
61,1034122323355642880.0,500,5000,0.0,6295,9.325019857029389
62,2777949019608510500.0,500,5000,0.0,6384,9.24420426065163
63,8871638428617031700.0,500,5000,0.0,6524,9.071275291232373
64,2138810548042419200.0,500,5000,0.0,6482,9.093181116939217
65,2892951684582016000.0,500,5000,0.0,6010,9.575041597337771
66,4921541557609993200.0,500,5000,0.0,6298,9.286916481422674
67,800878435309840380.0,500,5000,0.0,6331,9.490443847733376
68,5527862038621070300.0,500,5000,0.0,6110,9.523076923076923
69,1379446537551138820.0,500,5000,0.0,6075,9.427160493827161
70,8029094489258328100.0,500,5000,0.0,6015,9.5737323358271
71,1677874850650588160.0,500,5000,0.0,6169,9.471875506565084
72,506074572078322690.0,500,5000,0.0,6220,9.378135048231512
73,6959264225449315300.0,500,5000,0.0,6343,9.363392716380261
74,4732635524366342100.0,500,5000,0.0,6330,9.246761453396525
75,6583573310791494700.0,500,5000,0.0,6259,9.338073174628535
76,6427866114979680300.0,500,5000,0.0,6260,9.304153354632588
77,7552520903000510500.0,500,5000,0.0,6099,9.329562223315298
78,2896664227583797200.0,500,5000,0.0,6119,9.393691779702566
79,6464664567885156400.0,500,5000,665.0,6209,9.319697213722016
